"","poidsFit1","poidsFit2","SURF","poidsObserve","effectifZone"
"1",0.0184660733898317,0,0,0.272538713203338,73057
"2",0.305432851949135,0.31358281467747,20,0.18580099305755,49806
"3",0.210388529465075,0.215248633016425,40,0.139964411085537,37519
"4",0.144920014490937,0.147750360819657,60,0.107766515830352,28888
"5",0.099823933621532,0.101418386804217,80,0.0921282842338124,24696
"6",0.0687608109803163,0.0696153236101025,100,0.0609711968544473,16344
"7",0.0473638831404551,0.0477851544877635,120,0.0478473183342597,12826
"8",0.0326252322239898,0.032800551243693,140,0.0279302099149074,7487
"9",0.0224729415557594,0.0225148620617232,160,0.0188501870842831,5053
"10",0.0154798316438409,0.015454588244333,180,0.0114302341631196,3064
"11",0.0106628314378474,0.0106082949629938,200,0.00943441977758794,2529
"12",0.00734478106014691,0.00728171596956928,220,0.00688649225362884,1846
"13",0.00505923863993718,0.00499829498014992,240,0.00537937260548905,1442
"14",0.00348490927179812,0.00343091557168629,260,0.0034245936559216,918
"15",0.00240047831244716,0.00235503940979609,280,0.00318211153431495,853
"16",0.00165349961193006,0.00161653952299579,300,0.00180182868824633,483
"17",0.00113896507728306,0.00110962050933749,320,0.0015779990375325,423
"18",0.000784542940264865,0.000761662586795553,340,0.000921432062105267,247
"19",0.000540409567769795,0.000522818288993698,360,0.000787134271676969,211
"20",0.000372245400409255,0.000358871458366217,380,0.000537191161713192,144
"21",0.000256410408678964,0.000246335536344344,400,0.000839361190176863,225
